chunks|metadata
Continue listening to podcasts. You can listen with the Podcasts app. Or, there are lots of podcast apps  on Play Store - search for “podcast” in Play Store and download one of your choice.  Install apps remotely. On a computer, visit play.google.com. Browse apps on the bigger screen and then  install them on your phone from your computer.|Continue listening to podcasts. You can listen with the Podcasts app. Or, there are lots of podcast apps  on Play Store - search for “podcast” in Play Store and download one of your choice.  Install apps remotely. On a computer, visit play.google.com. Browse apps on the bigger screen and then  install them on your phone from your computer.
Your home screen: Your old phone showed all apps on your home screen. With your new phone, you can  put shortcuts to your most important apps on your home screen for easy access. Or, find your full list by    Learn the basics : New to Android?   swiping up from your favorites tray. This frees up room on your home screen for widgets, making your new  home much more lively.|Your home screen: Your old phone showed all apps on your home screen. With your new phone, you can  put shortcuts to your most important apps on your home screen for easy access. Or, find your full list by    Learn the basics : New to Android?   swiping up from your favorites tray. This frees up room on your home screen for widgets, making your new  home much more lively.
Privacy indicator: On Android, a green indicator means either your camera or mic are being used by an  app. On iPhone, an orange indicator means the mic is being used.|Privacy indicator: On Android, a green indicator means either your camera or mic are being used by an  app. On iPhone, an orange indicator means the mic is being used.
In the cloud: Your Google account is your key to cloud storage with Google. If you migrated your contacts  to your phone, then you can see them from any device or computer by logging into Gmail. Your Google  account includes apps like Calendar and Drive that let you work well with others. And it has apps that let you|In the cloud: Your Google account is your key to cloud storage with Google. If you migrated your contacts  to your phone, then you can see them from any device or computer by logging into Gmail. Your Google  account includes apps like Calendar and Drive that let you work well with others. And it has apps that let you
play too - access your photos, videos, music from any device when you log in with your Google account. Use  YT Music to upload your iTunes library.|play too - access your photos, videos, music from any device when you log in with your Google account. Use  YT Music to upload your iTunes library.
File sharing: If you used AirDrop on your iPhone, now you'll use Nearby Share to easily share files or links  with friends.  About your Google account  Benefits of your account  When you set up your phone, you added a Google account. If you haven't had a Google account before, this  is more than just a password you set up for your phone.|File sharing: If you used AirDrop on your iPhone, now you'll use Nearby Share to easily share files or links  with friends.  About your Google account  Benefits of your account  When you set up your phone, you added a Google account. If you haven't had a Google account before, this  is more than just a password you set up for your phone.
A Google account lets you organize and access your personal information and files from any computer or  mobile device:         |A Google account lets you organize and access your personal information and files from any computer or  mobile device:         
         Synchronize everything. Never lose your contacts. Associate them with your Google account if you  create contacts on your phone, and view them from Gmail on any computer or by signing into your  Google account on any phone. Create emails or calendar events on your phone and view them on any  computer. Access your browser bookmarks from any device.|         Synchronize everything. Never lose your contacts. Associate them with your Google account if you  create contacts on your phone, and view them from Gmail on any computer or by signing into your  Google account on any phone. Create emails or calendar events on your phone and view them on any  computer. Access your browser bookmarks from any device.
Store in the cloud. Upload your photos, videos, and music to the cloud; get to all of it without taking up  space on your phone.  Keep your stuff secure. Your account password secures it all and lets you access it from anywhere.  Maintaining your account|Store in the cloud. Upload your photos, videos, and music to the cloud; get to all of it without taking up  space on your phone.  Keep your stuff secure. Your account password secures it all and lets you access it from anywhere.  Maintaining your account
Maintaining your account  Other than remembering your password, you don’t need to do much maintenance on your Google account -  just enjoy the benefits of your secure, synchronized information. However, you can:        Control how frequently your phone syncs your information.  Review and manage the information Google collects from you, such as search and browsing history.|Maintaining your account  Other than remembering your password, you don’t need to do much maintenance on your Google account -  just enjoy the benefits of your secure, synchronized information. However, you can:        Control how frequently your phone syncs your information.  Review and manage the information Google collects from you, such as search and browsing history.
Learn about Google apps  Many Google apps, like Gmail, Chrome, Photos, and Maps are preloaded on your phone. To learn about and  download additional Google apps, read Google’s help.  Can't sign in to Google account  If you’re having problems signing in to your account, read Google's support information.   Learn the basics : New to Android?   Status bar icons  About status icons|Learn about Google apps  Many Google apps, like Gmail, Chrome, Photos, and Maps are preloaded on your phone. To learn about and  download additional Google apps, read Google’s help.  Can't sign in to Google account  If you’re having problems signing in to your account, read Google's support information.   Learn the basics : New to Android?   Status bar icons  About status icons
Status bar icons  About status icons  The status bar at the top of the home screen contains icons that help you monitor your phone.    On the left, icons tell you about apps, such as new messages or downloads. If you don't know what one   of these icons means, swipe the status bar down for details.    On the right, icons tell you about your phone's battery level and network connections.|Status bar icons  About status icons  The status bar at the top of the home screen contains icons that help you monitor your phone.    On the left, icons tell you about apps, such as new messages or downloads. If you don't know what one   of these icons means, swipe the status bar down for details.    On the right, icons tell you about your phone's battery level and network connections.
A dot means there are more icons to view. Drag down from the top of the screen to see all icons.  What status icons mean  These are the icons from apps that came on your phone and the phone status icons.  Icon  Meaning  CALLS  Active call.  Missed call.  Speakerphone on.  Microphone muted.  NETWORK|A dot means there are more icons to view. Drag down from the top of the screen to see all icons.  What status icons mean  These are the icons from apps that came on your phone and the phone status icons.  Icon  Meaning  CALLS  Active call.  Missed call.  Speakerphone on.  Microphone muted.  NETWORK
Microphone muted.  NETWORK  Connected to cellular/mobile network (full signal). Speed of your network connection is also  shown. Possible speeds, from slowest to fastest, are 3G, H, H+, 4G, 5G. Available speeds depend  on your carrier and your location.  Connected to different cellular/mobile network (roaming).  Data Saver is on, preventing apps from using background data.|Microphone muted.  NETWORK  Connected to cellular/mobile network (full signal). Speed of your network connection is also  shown. Possible speeds, from slowest to fastest, are 3G, H, H+, 4G, 5G. Available speeds depend  on your carrier and your location.  Connected to different cellular/mobile network (roaming).  Data Saver is on, preventing apps from using background data.
Learn the basics : New to Android?   Wi‑Fi network within range.  Connected to Wi‑Fi network.  No SIM card.  Location services are in use.  Airplane mode on.  CONNECTIVITY  Bluetooth connected.  Trusted device connected.  Your phone is a Wi‑Fi hotspot. Devices can connect to share your data connection.  Wireless display or adaptor connected.  Connected by USB cable.  USB tethering enabled.|Learn the basics : New to Android?   Wi‑Fi network within range.  Connected to Wi‑Fi network.  No SIM card.  Location services are in use.  Airplane mode on.  CONNECTIVITY  Bluetooth connected.  Trusted device connected.  Your phone is a Wi‑Fi hotspot. Devices can connect to share your data connection.  Wireless display or adaptor connected.  Connected by USB cable.  USB tethering enabled.
USB tethering enabled.  NFC enabled. Only some versions of this phone, sold in certain countries, support this feature.  SYNC AND UPDATES  App updates are available for download from Play Store.   Learn the basics : New to Android?   Email and calendar sync in progress.  Upload complete.  Download complete.  Google backup in progress.  Google backup complete.  SOUND  Vibrate.  DO NOT DISTURB|USB tethering enabled.  NFC enabled. Only some versions of this phone, sold in certain countries, support this feature.  SYNC AND UPDATES  App updates are available for download from Play Store.   Learn the basics : New to Android?   Email and calendar sync in progress.  Upload complete.  Download complete.  Google backup in progress.  Google backup complete.  SOUND  Vibrate.  DO NOT DISTURB
SOUND  Vibrate.  DO NOT DISTURB  Do Not Disturb is on.  BATTERY  Battery fully charged.  Battery charging.  Battery low.  Overcharge protection is limiting battery to 80%.  Phone is in Battery Saver mode.  ALARM AND CALENDAR   Learn the basics : New to Android?   Alarm set.  Upcoming calendar event.  EMAIL AND MESSAGING  New Gmail message.  New text message.  New voicemail.  Important alert.|SOUND  Vibrate.  DO NOT DISTURB  Do Not Disturb is on.  BATTERY  Battery fully charged.  Battery charging.  Battery low.  Overcharge protection is limiting battery to 80%.  Phone is in Battery Saver mode.  ALARM AND CALENDAR   Learn the basics : New to Android?   Alarm set.  Upcoming calendar event.  EMAIL AND MESSAGING  New Gmail message.  New text message.  New voicemail.  Important alert.
New voicemail.  Important alert.  OTHER ICONS  Privacy indicator. An app is using your microphone or camera.  Animated GIF is available.  Screen recording in process.  Focus mode is on.  Apps that you download might show other icons to alert you about their status.  Certain features, services, and applications are network or carrier dependent and may not be available in all  areas.|New voicemail.  Important alert.  OTHER ICONS  Privacy indicator. An app is using your microphone or camera.  Animated GIF is available.  Screen recording in process.  Focus mode is on.  Apps that you download might show other icons to alert you about their status.  Certain features, services, and applications are network or carrier dependent and may not be available in all  areas.
Phone terms you should know Airplane mode   This mode allows you to use your phone's non-wireless functions (music, games, etc.), while disabling its  wireless radio functions that are banned on airplanes during flight.   Learn the basics : New to Android?|Phone terms you should know Airplane mode   This mode allows you to use your phone's non-wireless functions (music, games, etc.), while disabling its  wireless radio functions that are banned on airplanes during flight.   Learn the basics : New to Android?
Learn the basics : New to Android?   app   Software that you can download for added functionality, such as games, email apps, bar code scanners and  more. Some apps are already on your phone, and more can be downloaded from your phone's app store.|Learn the basics : New to Android?   app   Software that you can download for added functionality, such as games, email apps, bar code scanners and  more. Some apps are already on your phone, and more can be downloaded from your phone's app store.
Bluetooth™   A short-range wireless technology you can use to connect a device to other nearby Bluetooth-capable  devices and accessories, such as headsets, speakers, printers, etc. Use Bluetooth to make handsfree calls on  a headset or in your car, listen to music on wireless speakers, use a wireless mouse or keyboard, or print a  document in another room. Set up Bluetooth.|Bluetooth™   A short-range wireless technology you can use to connect a device to other nearby Bluetooth-capable  devices and accessories, such as headsets, speakers, printers, etc. Use Bluetooth to make handsfree calls on  a headset or in your car, listen to music on wireless speakers, use a wireless mouse or keyboard, or print a  document in another room. Set up Bluetooth.
cellular network or mobile network   A network of radio-transmitting towers. You make calls on your phone using radio waves sent between the  phone and the network towers. You also send data and access the Internet on this network. Carriers use  different technologies to handle these radio transmissions (GSM, CDMA, Edge, 3G, 4G, LTE, HSPA, iDEN).|cellular network or mobile network   A network of radio-transmitting towers. You make calls on your phone using radio waves sent between the  phone and the network towers. You also send data and access the Internet on this network. Carriers use  different technologies to handle these radio transmissions (GSM, CDMA, Edge, 3G, 4G, LTE, HSPA, iDEN).
data   Information sent or received from your phone other than calls and text messages. You may use data when  you access the internet, check your email, play games, use apps and more. Background tasks, such as  syncing or location services, may also use data.|data   Information sent or received from your phone other than calls and text messages. You may use data when  you access the internet, check your email, play games, use apps and more. Background tasks, such as  syncing or location services, may also use data.
data usage   The amount of data your phone uploads or downloads over a network in a given period. Your phone uses  your carrier's cellular network or over a Wi-Fi network. Depending on your plan with your carrier, you may  be charged additional fees when your data usage exceeds your plan's monthly limits.|data usage   The amount of data your phone uploads or downloads over a network in a given period. Your phone uses  your carrier's cellular network or over a Wi-Fi network. Depending on your plan with your carrier, you may  be charged additional fees when your data usage exceeds your plan's monthly limits.
GPS   Global Positioning System. A global satellite-based system for determining precise locations on Earth.With  GPS, your phone becomes your navigator when you're driving and your concierge when you're looking for a  nearby meal, movie, or cup of coffee.|GPS   Global Positioning System. A global satellite-based system for determining precise locations on Earth.With  GPS, your phone becomes your navigator when you're driving and your concierge when you're looking for a  nearby meal, movie, or cup of coffee.
mobile hotspot   A device or app that lets you share your mobile data connection with multiple devices via Wi‑Fi. You can  connect different devices to your hotspot, including notebooks, netbooks, MP3 players, cameras,  Smartphones, and portable gaming systems. The number of devices that can connect at one time depends  on your carrier and connection speed.|mobile hotspot   A device or app that lets you share your mobile data connection with multiple devices via Wi‑Fi. You can  connect different devices to your hotspot, including notebooks, netbooks, MP3 players, cameras,  Smartphones, and portable gaming systems. The number of devices that can connect at one time depends  on your carrier and connection speed.
NFC   Near-field communication. A wireless technology that transfers information between two compatible  devices. Tap the devices together to share web addresses, contact info, apps, GPS locations and more.|NFC   Near-field communication. A wireless technology that transfers information between two compatible  devices. Tap the devices together to share web addresses, contact info, apps, GPS locations and more.
notification   An alert from your phone or an app on your phone. Your phone displays icons in the status bar to notify you  of new messages, calendar events and alarms. Icons can also indicate ongoing status, such as connection to  a Wi‑Fi network.|notification   An alert from your phone or an app on your phone. Your phone displays icons in the status bar to notify you  of new messages, calendar events and alarms. Icons can also indicate ongoing status, such as connection to  a Wi‑Fi network.
Play Store   Google's store where you can download apps, books, movies, and music. Choose from an assortment of  free books or apps; purchase from an even larger selection.  shortcut   An icon you can add to your home screen that lets you quickly open an app. Create shortcuts for apps you  use frequently.|Play Store   Google's store where you can download apps, books, movies, and music. Choose from an assortment of  free books or apps; purchase from an even larger selection.  shortcut   An icon you can add to your home screen that lets you quickly open an app. Create shortcuts for apps you  use frequently.
SIM card   Subscriber Identity Module (SIM) card. A card that securely stores information your carrier uses to  authenticate your phone on the cellular network.  software update   An update to your phone's operating system that typically includes new features and fixes reported  problems. The update is wirelessly downloaded to your phone at no additional cost to you.|SIM card   Subscriber Identity Module (SIM) card. A card that securely stores information your carrier uses to  authenticate your phone on the cellular network.  software update   An update to your phone's operating system that typically includes new features and fixes reported  problems. The update is wirelessly downloaded to your phone at no additional cost to you.
Learn the basics : New to Android?   status bar   Thin bar at the top of your home screen that displays the time and icons that tell you about your phone's  battery and network connections. Apps display icons in the status bar to alert you of events, such as new  messages.|Learn the basics : New to Android?   status bar   Thin bar at the top of your home screen that displays the time and icons that tell you about your phone's  battery and network connections. Apps display icons in the status bar to alert you of events, such as new  messages.
sync   The process of sharing the same information across multiple devices and websites. Contacts, calendars and  email are often synced through cloud services, so you can enter information on one device and access it  through another.|sync   The process of sharing the same information across multiple devices and websites. Contacts, calendars and  email are often synced through cloud services, so you can enter information on one device and access it  through another.
widget   An element you can add to your home screen that gives you quick access to information or frequent tasks.  For example, widgets can provide weather updates, upcoming calendar events. Many are preinstalled on  your phone. Apps you download may also include widgets.|widget   An element you can add to your home screen that gives you quick access to information or frequent tasks.  For example, widgets can provide weather updates, upcoming calendar events. Many are preinstalled on  your phone. Apps you download may also include widgets.
Wi‑Fi   A short-range wireless technology that provides a high-speed internet connection to wireless data devices.  Many locations offer Wi-Fi connections, including airports, hotels, restaurants and more. Using a Wi-Fi  connection instead of your cellular network can help reduce your cellular data usage. Some public Wi-Fi|Wi‑Fi   A short-range wireless technology that provides a high-speed internet connection to wireless data devices.  Many locations offer Wi-Fi connections, including airports, hotels, restaurants and more. Using a Wi-Fi  connection instead of your cellular network can help reduce your cellular data usage. Some public Wi-Fi
connections may not be secure. You should only connect to those you trust and use some form of internet  security on your devices. Set up Wi-Fi.|connections may not be secure. You should only connect to those you trust and use some form of internet  security on your devices. Set up Wi-Fi.
Certain features, services, and applications are network or carrier dependent and may not be available in all  areas.   Learn the basics : Get around on your phone   Learn gestures You can use gestures on your touch screen to move between apps and choose or manipulate items.|Certain features, services, and applications are network or carrier dependent and may not be available in all  areas.   Learn the basics : Get around on your phone   Learn gestures You can use gestures on your touch screen to move between apps and choose or manipulate items.
There are also gestures, which you can turn on/off, to perform everyday tasks like screenshots or turning on  the flashlight.  Touch, drag, swipe, zoom  Gesture  Description  Touch  Press with one finger and lift.  Result: Open something (app or email) or choose something (checkbox, icon).  Touch & hold  Press and wait before lifting one finger.|There are also gestures, which you can turn on/off, to perform everyday tasks like screenshots or turning on  the flashlight.  Touch, drag, swipe, zoom  Gesture  Description  Touch  Press with one finger and lift.  Result: Open something (app or email) or choose something (checkbox, icon).  Touch & hold  Press and wait before lifting one finger.
Result: Select something (app icon, text on a page) and see possible actions.  Try it: Touch & hold text on this page to see the copy feature.  Drag  Swipe  Touch & hold an item and then, without lifting, slide your finger until you reach the  target position.  Result: Move elements on the screen; for example, change a toggle from on    to off   .|Result: Select something (app icon, text on a page) and see possible actions.  Try it: Touch & hold text on this page to see the copy feature.  Drag  Swipe  Touch & hold an item and then, without lifting, slide your finger until you reach the  target position.  Result: Move elements on the screen; for example, change a toggle from on    to off   .
to off   .  Try it: Drag an app shortcut from one spot on your home screen to another.  Quickly move one finger across the screen, without pausing when you first touch (so you  don’t drag instead).  Result: Switch between home screens or between tabs in an app. Or, move quickly  through a list. You can swipe different directions (up, down, left/right) for different  results. Learn more.|to off   .  Try it: Drag an app shortcut from one spot on your home screen to another.  Quickly move one finger across the screen, without pausing when you first touch (so you  don’t drag instead).  Result: Switch between home screens or between tabs in an app. Or, move quickly  through a list. You can swipe different directions (up, down, left/right) for different  results. Learn more.
Try it: Open the Phone app and swipe left/right to switch between tabs. Or, swipe up  from the bottom of this screen to go home.  Pinch out to  zoom  Put two fingers on the screen and then drag them apart.  Result: Zoom in to see larger version of photos and maps. Or, open expandable  notifications.  Try it: Open a photo and pinch out to zoom in on an area.|Try it: Open the Phone app and swipe left/right to switch between tabs. Or, swipe up  from the bottom of this screen to go home.  Pinch out to  zoom  Put two fingers on the screen and then drag them apart.  Result: Zoom in to see larger version of photos and maps. Or, open expandable  notifications.  Try it: Open a photo and pinch out to zoom in on an area.
Learn the basics : Get around on your phone   Tip: If you have visual impairments, you can enable additional magnification  gestures.  Pinch in to zoom  Put two fingers on the screen, far apart, and then drag them together.  Result: Zoom out to see smaller version of photos or maps. Or, close expandable  notifications.  Press Power button twice|Learn the basics : Get around on your phone   Tip: If you have visual impairments, you can enable additional magnification  gestures.  Pinch in to zoom  Put two fingers on the screen, far apart, and then drag them together.  Result: Zoom out to see smaller version of photos or maps. Or, close expandable  notifications.  Press Power button twice
Press Power button twice  Press the Power button twice to open Google Assistant.  You can customize settings to open the camera instead.  Use gestures to turn screen on  You can turn on the screen by pressing the Power button.  There are two other gestures you can set up: . Go to Settings > System > Gestures > Wake display. .  Select the gestures to use for turning on the screen:   |Press Power button twice  Press the Power button twice to open Google Assistant.  You can customize settings to open the camera instead.  Use gestures to turn screen on  You can turn on the screen by pressing the Power button.  There are two other gestures you can set up: . Go to Settings > System > Gestures > Wake display. .  Select the gestures to use for turning on the screen:   
   Tapping the display    Moving the phone  Move between apps and screens  Choose how to get around  You can change how you move between apps and screens using your touch screen: Settings > System >  Gestures > System navigation.  Use gesture navigation  Use these gestures to move between screens and apps if you chose Gesture navigation and see   at the bottom of your home screen.  Action|   Tapping the display    Moving the phone  Move between apps and screens  Choose how to get around  You can change how you move between apps and screens using your touch screen: Settings > System >  Gestures > System navigation.  Use gesture navigation  Use these gestures to move between screens and apps if you chose Gesture navigation and see   at the bottom of your home screen.  Action
Action  Gesture to use  Switch between apps  At the very bottom of the screen, swipe left or right.  See all recent apps  Drag up from the bottom, hold, then let go.   Learn the basics : Get around on your phone   See all apps  Swipe up from the bottom of the home screen.  Go back  Swipe towards the middle from the left or right edge of any screen.  Go home|Action  Gesture to use  Switch between apps  At the very bottom of the screen, swipe left or right.  See all recent apps  Drag up from the bottom, hold, then let go.   Learn the basics : Get around on your phone   See all apps  Swipe up from the bottom of the home screen.  Go back  Swipe towards the middle from the left or right edge of any screen.  Go home
Go home  Swipe up from the bottom of any screen.  Open Google Assistant Swipe diagonally from either lower corner of the screen.  Use 3-button navigation   Use these icons to move between screens and apps if you chose 3-button navigation.   takes you back one screen.   returns you to the home screen from any app.   lets you switch between recent apps.  Tip: For visual assistance, you can add|Go home  Swipe up from the bottom of any screen.  Open Google Assistant Swipe diagonally from either lower corner of the screen.  Use 3-button navigation   Use these icons to move between screens and apps if you chose 3-button navigation.   takes you back one screen.   returns you to the home screen from any app.   lets you switch between recent apps.  Tip: For visual assistance, you can add
to open the Accessibility Menu or magnify what's on the   screen.  Use quick settings  Open quick settings  Settings you adjust frequently, like Bluetooth, are “quick settings”, easy to get to from any screen.  To see your first few quick settings, swipe down once from the top of your screen.  To see all quick settings, swipe down again.  Adjust quick settings  Do one of the following:      |to open the Accessibility Menu or magnify what's on the   screen.  Use quick settings  Open quick settings  Settings you adjust frequently, like Bluetooth, are “quick settings”, easy to get to from any screen.  To see your first few quick settings, swipe down once from the top of your screen.  To see all quick settings, swipe down again.  Adjust quick settings  Do one of the following:      
Do one of the following:        Touch an icon to toggle the setting on/off.  Touch & hold an icon to adjust related settings.         Learn the basics : Get around on your phone   Icon  Setting  Internet: Wi-Fi  Internet: Mobile data  Bluetooth  Do Not Disturb  Auto-rotate  Control compatible smart devices  Wallet (To learn more, read Google's help.)  Ready For  Flashlight  Wi-Fi calling|Do one of the following:        Touch an icon to toggle the setting on/off.  Touch & hold an icon to adjust related settings.         Learn the basics : Get around on your phone   Icon  Setting  Internet: Wi-Fi  Internet: Mobile data  Bluetooth  Do Not Disturb  Auto-rotate  Control compatible smart devices  Wallet (To learn more, read Google's help.)  Ready For  Flashlight  Wi-Fi calling
Ready For  Flashlight  Wi-Fi calling  Dolby Atmos  GIF maker  Alarm   Learn the basics : Get around on your phone   Battery Saver  Airplane mode  Screen Cast  Screen Record  Nearby Share  Data Saver (Appears after you turn on Data Saver the first time.)  Night Light  Bedtime mode  NFC  Power sharing  System update  Wi-Fi hotspot (Appears after you turn on hotspot the first time.)  Camera access|Ready For  Flashlight  Wi-Fi calling  Dolby Atmos  GIF maker  Alarm   Learn the basics : Get around on your phone   Battery Saver  Airplane mode  Screen Cast  Screen Record  Nearby Share  Data Saver (Appears after you turn on Data Saver the first time.)  Night Light  Bedtime mode  NFC  Power sharing  System update  Wi-Fi hotspot (Appears after you turn on hotspot the first time.)  Camera access
Camera access  Mic access   Learn the basics : Get around on your phone   Extra dim (Appears after you turn on Extra dim the first time.)  You can also slide    to adjust screen brightness.  Open all settings  To open the full list of all settings:    Open quick settings and touch   .    Or, open the    Settings app.|Camera access  Mic access   Learn the basics : Get around on your phone   Extra dim (Appears after you turn on Extra dim the first time.)  You can also slide    to adjust screen brightness.  Open all settings  To open the full list of all settings:    Open quick settings and touch   .    Or, open the    Settings app.
.    Or, open the    Settings app.  Tip: You can search the Settings app to find what you need quickly. Just touch    at the top of the app   and type your search term.  Customize quick settings  You can rearrange quick settings, putting your most used at the top. You can also add or remove them. . Open quick settings. .  Touch   . . Drag to rearrange. Or swipe down to add new tiles.|.    Or, open the    Settings app.  Tip: You can search the Settings app to find what you need quickly. Just touch    at the top of the app   and type your search term.  Customize quick settings  You can rearrange quick settings, putting your most used at the top. You can also add or remove them. . Open quick settings. .  Touch   . . Drag to rearrange. Or swipe down to add new tiles.
To return quick settings to its original state, touch   > Reset.  Turn screen off and on  Why your screen turns off automatically     To save battery power, your screen turns off if you haven't used it for some time. You can lengthen or  shorten the time before your screen automatically turns off.|To return quick settings to its original state, touch   > Reset.  Turn screen off and on  Why your screen turns off automatically     To save battery power, your screen turns off if you haven't used it for some time. You can lengthen or  shorten the time before your screen automatically turns off.
  When you bring the phone to your face to speak into it during calls, the screen turns off to prevent   accidental touches. When you pull the phone away from your face, the screen turns on so you can use it.  (If the screen stays dark, follow these steps.)  Turn screen off and on manually  To turn the screen on:            |  When you bring the phone to your face to speak into it during calls, the screen turns off to prevent   accidental touches. When you pull the phone away from your face, the screen turns on so you can use it.  (If the screen stays dark, follow these steps.)  Turn screen off and on manually  To turn the screen on:            
To turn the screen on:              Press the Power button. If you've set up a screen lock, you need to unlock it.  Tap the screen or move your phone. (If this doesn't work, turn the gestures on.)  If you've added your fingerprint to the phone, touch the sensor to wake and unlock your phone.  Your screen automatically turns on when you have an incoming call.  To turn the screen off:|To turn the screen on:              Press the Power button. If you've set up a screen lock, you need to unlock it.  Tap the screen or move your phone. (If this doesn't work, turn the gestures on.)  If you've added your fingerprint to the phone, touch the sensor to wake and unlock your phone.  Your screen automatically turns on when you have an incoming call.  To turn the screen off:
To turn the screen off:     Learn the basics : Get around on your phone            Press the Power button. When you set down your phone, it's good habit to do this. You prevent  accidental touches, save a bit of battery, and keep it secure with the screen lock.|To turn the screen off:     Learn the basics : Get around on your phone            Press the Power button. When you set down your phone, it's good habit to do this. You prevent  accidental touches, save a bit of battery, and keep it secure with the screen lock.
Tap your home screen twice. (If this doesn't work, touch & hold a blank space on the home screen, then  touch Home settings and turn Double tap to turn off screen on   .)  To keep your screen off and phone quiet when you don't want interruptions, like at night, use Do Not  Disturb settings.|Tap your home screen twice. (If this doesn't work, touch & hold a blank space on the home screen, then  touch Home settings and turn Double tap to turn off screen on   .)  To keep your screen off and phone quiet when you don't want interruptions, like at night, use Do Not  Disturb settings.
When your screen is off, battery-friendly Peek Display notifications fade in and out, showing only  notifications delivered since the screen was last on.   Learn the basics : Capture your screen   Take screenshots  Take a screenshot . Do one of the following:           Touch & hold three fingers on the screen. (If this doesn't work, turn Three finger screenshot on.)|When your screen is off, battery-friendly Peek Display notifications fade in and out, showing only  notifications delivered since the screen was last on.   Learn the basics : Capture your screen   Take screenshots  Take a screenshot . Do one of the following:           Touch & hold three fingers on the screen. (If this doesn't work, turn Three finger screenshot on.)
Drag from the bottom of the screen and hold to see recent apps, then touch Screenshot.  Press & hold Power and Volume Down simultaneously until the screen is captured. .  To scroll and capture more content, touch   .   To stop scrolling before the end of the page, touch STOP or   . . Do any of the following:              To edit the screenshot, touch   .  To share it, touch   .|Drag from the bottom of the screen and hold to see recent apps, then touch Screenshot.  Press & hold Power and Volume Down simultaneously until the screen is captured. .  To scroll and capture more content, touch   .   To stop scrolling before the end of the page, touch STOP or   . . Do any of the following:              To edit the screenshot, touch   .  To share it, touch   .
.  To share it, touch   .  To analyze it with Google Lens, touch   .  For more time to review it before taking an action, touch the thumbnail to open the screenshot.  Edit screenshots  If you touched    after taking the screenshot, you have these options:  Icon  Meaning  Crop. To switch between standard, circular, or freeform, touch    again.  Draw. To change color or thickness, touch    again.|.  To share it, touch   .  To analyze it with Google Lens, touch   .  For more time to review it before taking an action, touch the thumbnail to open the screenshot.  Edit screenshots  If you touched    after taking the screenshot, you have these options:  Icon  Meaning  Crop. To switch between standard, circular, or freeform, touch    again.  Draw. To change color or thickness, touch    again.
again.   Learn the basics : Capture your screen   Highlight. To change color or thickness, touch    again.  Insert a text box. Touch the icons to change the background and text color.  Blur with mosaic effect. Swipe over the area to blur.  Undo change.  Redo change.  Close without saving.  Save.  Share.  Find screenshots later  Open the Photos app and touch Library > Screenshots.|again.   Learn the basics : Capture your screen   Highlight. To change color or thickness, touch    again.  Insert a text box. Touch the icons to change the background and text color.  Blur with mosaic effect. Swipe over the area to blur.  Undo change.  Redo change.  Close without saving.  Save.  Share.  Find screenshots later  Open the Photos app and touch Library > Screenshots.
Record your screen  You can record a video of your screen while you’re using it. You can choose to include your audio or a selfie  video when recording.  Record screen . .  If you want the recording to show when you touch screen elements, turn Record touch points on.  To start recording:    Open quick settings and touch   .     If you're playing a game and Gametime is on, touch    >   .|Record your screen  You can record a video of your screen while you’re using it. You can choose to include your audio or a selfie  video when recording.  Record screen . .  If you want the recording to show when you touch screen elements, turn Record touch points on.  To start recording:    Open quick settings and touch   .     If you're playing a game and Gametime is on, touch    >   .
>   .   Learn the basics : Capture your screen  .  Touch Start to open the recorder and see a 3-second countdown before recording.  Tip: To adjust options before recording, touch the countdown timer and make changes. Touch    to   restart the countdown. . Make your recording. While recording:           To adjust recording options, touch    and then touch   . To restart recording, touch   .|>   .   Learn the basics : Capture your screen  .  Touch Start to open the recorder and see a 3-second countdown before recording.  Tip: To adjust options before recording, touch the countdown timer and make changes. Touch    to   restart the countdown. . Make your recording. While recording:           To adjust recording options, touch    and then touch   . To restart recording, touch   .
. To restart recording, touch   .  You can drag the recorder to reposition it.  You’ll see a timer next to    and    in the status bar. .  To stop recording:     Touch    on the recorder.    Or, swipe down from the top of the screen, then touch the red    notification.  Adjust recording options  Sound    You can mute or record your phone's sound, and you can include your own narration.|. To restart recording, touch   .  You can drag the recorder to reposition it.  You’ll see a timer next to    and    in the status bar. .  To stop recording:     Touch    on the recorder.    Or, swipe down from the top of the screen, then touch the red    notification.  Adjust recording options  Sound    You can mute or record your phone's sound, and you can include your own narration.
To adjust sound, touch the current setting and change it.  Icon  Meaning  Mute  Record your narration using the microphone  Record only your phone's sound  Record both your narration and your phone's sound  Drawing    To write on the screen, touch   .  To change pen colors, touch   .  Video    To include a selfie video in the corner, touch   .     Learn the basics : Capture your screen|To adjust sound, touch the current setting and change it.  Icon  Meaning  Mute  Record your narration using the microphone  Record only your phone's sound  Record both your narration and your phone's sound  Drawing    To write on the screen, touch   .  To change pen colors, touch   .  Video    To include a selfie video in the corner, touch   .     Learn the basics : Capture your screen
To turn the selfie video off, touch   .  Other options    You can adjust more options, like frames per second or screen touches, in phone Settings. Learn more.  View recordings  To view a recording immediately after you capture it, swipe down from the top of the screen and touch the    notification.|To turn the selfie video off, touch   .  Other options    You can adjust more options, like frames per second or screen touches, in phone Settings. Learn more.  View recordings  To view a recording immediately after you capture it, swipe down from the top of the screen and touch the    notification.
